R,G,B,Class
205,126,100,o
206,126,100,o
206,127,101,o
206,128,101,o
207,128,101,o
207,128,101,o
206,128,100,o
206,127,100,o
205,127,99,o
205,127,99,o
204,126,99,o
204,125,98,o
203,124,97,o
202,123,96,o
202,122,96,o
201,121,95,o
201,121,95,o
200,120,95,o
200,120,95,o
200,119,96,o
199,120,98,o
198,125,105,o
200,137,119,o
207,162,143,o
213,186,165,o
214,193,171,o
213,196,174,o
212,196,175,o
212,197,177,o
211,198,178,o
211,199,180,o
211,199,181,o
210,199,181,o
209,198,181,o
210,199,182,o
211,200,185,o
212,201,186,o
212,201,187,o
211,199,184,o
210,197,182,o
209,196,180,o
210,196,181,o
210,197,182,o
210,196,182,o
208,194,179,o
207,193,177,o
207,193,177,o
208,194,178,o
208,194,178,o
208,194,178,o
208,194,177,o
209,194,177,o
210,195,178,o
211,195,178,o
211,194,177,o
211,193,175,o
211,191,172,o
212,191,171,o
214,192,172,o
214,189,166,o
212,171,145,o
206,136,109,o
206,124,99,o
206,121,96,o
207,120,96,o
208,119,95,o
208,119,95,o
208,118,94,o
208,117,93,o
208,117,93,o
209,116,92,o
209,116,92,o
208,116,92,o
208,116,92,o
208,115,91,o
207,115,92,o
206,115,92,o
205,115,92,o
204,115,93,o
204,115,94,o
202,116,95,o
201,117,96,o
200,118,97,o
198,119,99,o
196,124,103,o
194,134,112,o
196,151,128,o
202,177,155,o
204,183,162,o
204,183,163,o
204,183,163,o
204,184,163,o
204,184,164,o
204,185,165,o
204,185,165,o
203,185,165,o
203,186,166,o
203,186,166,o
203,186,166,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,166,o
203,186,166,o
204,186,166,o
203,186,166,o
203,186,166,o
203,186,166,o
203,186,166,o
203,186,166,o
202,186,166,o
202,186,166,o
202,186,166,o
201,187,166,o
201,187,166,o
201,187,166,o
201,187,166,o
201,187,166,o
201,186,165,o
202,186,165,o
202,186,164,o
202,185,163,o
202,183,160,o
202,177,154,o
195,153,132,o
167,112,95,o
136,69,63,o
130,61,58,o
129,59,58,o
128,59,57,o
128,58,57,o
127,57,57,o
127,57,57,o
126,56,57,o
126,55,57,o
125,55,57,o
125,55,57,o
125,54,57,o
125,54,56,o
125,54,56,o
125,54,56,o
125,54,56,o
125,54,56,o
125,53,56,o
126,53,56,o
126,53,56,o
126,53,56,o
126,53,56,o
126,53,57,o
126,53,57,o
126,54,58,o
126,54,58,o
126,55,59,o
207,195,175,o
207,194,173,o
208,194,172,o
208,193,170,o
209,192,169,o
209,192,168,o
210,191,167,o
211,189,164,o
212,187,160,o
213,183,155,o
210,165,136,o
199,127,101,o
198,119,93,o
198,118,92,o
199,119,94,o
201,122,96,o
201,123,97,o
202,123,97,o
203,124,98,o
205,126,100,o
205,126,101,o
206,127,101,o
206,127,101,o
206,128,101,o
207,128,101,o
207,128,101,o
206,128,101,o
206,128,100,o
205,127,100,o
